Date,Electricity_Requirement
2015-04-01,8361.0
2015-05-01,8381.0
2015-06-01,8302.0
2015-07-01,8953.0
2015-08-01,8535.0
2015-09-01,8498.0
2015-10-01,8330.0
2015-11-01,6511.0
2015-12-01,7181.0
2016-01-01,8151.0
2016-02-01,8386.0
2016-03-01,9688.0
2016-04-01,9847.4
2016-05-01,9292.9
2016-06-01,8744.5
2016-07-01,9006.6
2016-08-01,9207.2
2016-09-01,9067.2
2016-10-01,9060.4
2016-11-01,8885.9
2016-12-01,8035.8
2017-01-01,8286.6
2017-02-01,7893.4
2017-03-01,9396.1
2017-04-01,9539.0
2017-05-01,9687.4
2017-06-01,9171.0
2017-07-01,9404.4
2017-08-01,8653.0
2017-09-01,8286.0
2017-10-01,8394.9
2017-11-01,8085.2
2017-12-01,8532.8
2018-01-01,8620.9
2018-02-01,8263.1
2018-03-01,9868.0
2018-04-01,10127.0
2018-05-01,9529.0
2018-06-01,9471.0
2018-07-01,9620.0
2018-08-01,9327.0
2018-09-01,9430.4
2018-10-01,8835.9
2018-11-01,7971.0
2018-12-01,8807.0
2019-01-01,8681.0
2019-02-01,8746.0
2019-03-01,10548.0
2019-04-01,10308.0
2019-05-01,10612.0
2019-06-01,10051.0
2019-07-01,9841.0
2019-08-01,9171.0
2019-09-01,8633.0
2019-10-01,8424.0
2019-11-01,8246.0
2019-12-01,8246.0
2020-01-01,8544.0
2020-02-01,9052.0
2020-03-01,9583.0
2020-04-01,7287.0
2020-05-01,8985.0
2020-06-01,9000.0
2020-07-01,8355.0
2020-08-01,8698.0
2020-09-01,8435.0
2020-10-01,9183.0
2020-11-01,7982.0
2020-12-01,8033.0
2021-01-01,7886.0
2021-02-01,8368.0
2021-03-01,9476.0
2021-04-01,9781.0
2021-05-01,9295.0
2021-06-01,9368.0
2021-07-01,9599.0
2021-08-01,10010.0
2021-09-01,9431.0
2021-10-01,9067.0
2021-11-01,7362.0
2021-12-01,8590.0
2022-01-01,8873.0
2022-02-01,9028.0
2022-03-01,10657.0
2022-04-01,10632.0
2022-05-01,10459.0
2022-06-01,10459.0
2022-07-01,10142.0
2022-08-01,9756.0
2022-09-01,9596.0
2022-10-01,8922.0
2022-11-01,8521.0
2022-12-01,8754.0
2023-01-01,9230.0
2023-02-01,8956.0
2023-03-01,10854.0
2023-04-01,11377.0
2023-05-01,10982.0
2023-06-01,10967.0
2023-07-01,10800.0
2023-08-01,11406.0
2023-09-01,10172.0
2023-10-01,10734.0
2023-11-01,8759.0
2023-12-01,9356.0
2024-01-01,9658.0
2024-02-01,10404.0
2024-03-01,10452.0
2024-04-01,12649.0
2024-05-01,11838.0
2024-06-01,10784.0
2024-07-01,11192.0
2024-08-01,11135.0
2024-09-01,11247.0
2024-10-01,10267.0
2024-11-01,9474.0
2024-12-01,9419.0
2025-01-01,9795.0
2025-02-01,10242.0
2025-03-01,11864.0
2025-04-01,11892.0
2025-05-01,11332.0
2025-06-01,11514.0
2025-07-01,12382.0
2025-08-01,11271.0
2025-09-01,10972.0
2025-10-01,10087.0
2025-11-01,10076.0
2025-12-01,10150.0
2026-01-01,10067.0
2026-02-01,10125.0
2026-03-01,12233.0
2026-04-01,12922.0
2026-05-01,12400.0
