Date,Electricity_Requirement,Humidity,Rainfall,Electricity_Supply,Solar_Irradiance,Temperature
01-04-2015,8361,70.07,130.5668571,8112,166.53,28.57
01-05-2015,8381,77.22,160.7922857,8165,155.03,27.95
01-06-2015,8302,77.55,98.24028571,8257,160.31,27.31
01-07-2015,8953,73.18,37.80428571,8901,166.41,27.68
01-08-2015,8535,72.58,63.94428571,8531,167.12,27.85
01-09-2015,8498,75.12,119.7697143,8373,157.25,27.5
01-10-2015,8330,78.86,153.8074286,8324,143.69,26.6
01-11-2015,6511,87.29,316.4948571,6508,92.62,25.04
01-12-2015,7181,86.52,141.6291429,7174,114.06,24.37
01-01-2016,8151,78.24,2.164285714,8150,162.75,23.84
01-02-2016,8386,68.74,9.617714286,8387,174.41,26.39
01-03-2016,9688,60.87,15.34371429,9686,204.47,29.36
01-04-2016,9847.4,61.62,22.442,9842.3,191.19,31.11
01-05-2016,9292.9,70.07,136.4517143,9294.1,166.19,29.45
01-06-2016,8744.5,74.05,83.71771429,8742.8,147.03,27.64
01-07-2016,9006.6,73.96,100.9077143,9006.6,149.69,27.29
01-08-2016,9207.2,72.7,55.88514286,9207.2,177.66,27.55
01-09-2016,9067.2,70.5,21.10628571,9066.5,167.12,27.56
01-10-2016,9060.4,70.23,70.80428571,9059.1,166.78,27.54
01-11-2016,8885.9,71.24,71.45485714,8883,135.03,26.06
01-12-2016,8035.8,70.23,51.358,8032.4,142.28,25.36
01-01-2017,8286.6,66.75,41.84428571,8287.4,151.66,25.03
01-02-2017,7893.4,59.91,3.118571429,7893.6,167.91,25.78
01-03-2017,9396.1,66.24,56.92057143,9392.7,187.81,28
01-04-2017,9539,60.49,16.98514286,9535.4,195.72,30.78
01-05-2017,9687.4,70.63,95.20228571,9684.9,176.59,29.28
01-06-2017,9171,73.05,86.188,9170.5,162.94,27.92
01-07-2017,9404.4,70.05,59.75742857,9403,155,28.08
01-08-2017,8653,77.2,127.1014286,8650.4,157.41,27.06
01-09-2017,8286,82.98,174.55,8278.5,164.66,26.39
01-10-2017,8394.9,82.21,119.7871429,8385.8,149.09,26.39
01-11-2017,8085.2,84.87,208.4917143,8076,119.62,25.22
01-12-2017,8532.8,81.81,61.26828571,8526.3,149.03,24.11
01-01-2018,8620.9,72.98,7.354857143,8613.9,162.38,24.18
01-02-2018,8263.1,66.96,10.352,8257,164.25,25.56
01-03-2018,9868,62.58,25.87371429,9859,186.84,28.21
