Date,Humidity
01-01-2015,74.53
01-02-2015,64.86
01-03-2015,61.84
01-04-2015,70.07
01-05-2015,77.22
01-06-2015,77.55
01-07-2015,73.18
01-08-2015,72.58
01-09-2015,75.12
01-10-2015,78.86
01-11-2015,87.29
01-12-2015,86.52
01-01-2016,78.24
01-02-2016,68.74
01-03-2016,60.87
01-04-2016,61.62
01-05-2016,70.07
01-06-2016,74.05
01-07-2016,73.96
01-08-2016,72.7
01-09-2016,70.5
01-10-2016,70.23
01-11-2016,71.24
01-12-2016,70.23
01-01-2017,66.75
01-02-2017,59.91
01-03-2017,66.24
01-04-2017,60.49
01-05-2017,70.63
01-06-2017,73.05
01-07-2017,70.05
01-08-2017,77.2
01-09-2017,82.98
01-10-2017,82.21
01-11-2017,84.87
01-12-2017,81.81
01-01-2018,72.98
01-02-2018,66.96
01-03-2018,62.58
01-04-2018,65.7
01-05-2018,75.18
01-06-2018,74.89
01-07-2018,74.55
01-08-2018,73.73
01-09-2018,73.72
01-10-2018,80.43
01-11-2018,82.27
01-12-2018,78.44
01-01-2019,67.84
01-02-2019,63.38
01-03-2019,56.41
01-04-2019,59.72
01-05-2019,64.94
01-06-2019,70.8
01-07-2019,71.05
01-08-2019,75.1
01-09-2019,80.2
01-10-2019,85.18
01-11-2019,86.26
01-12-2019,85.98
01-01-2020,76.99
01-02-2020,66.39
01-03-2020,59.6
01-04-2020,62.57
01-05-2020,67.42
01-06-2020,71.93
01-07-2020,77.95
01-08-2020,77.96
01-09-2020,80.37
01-10-2020,80.28
01-11-2020,84.24
01-12-2020,86.08
01-01-2021,85.87
01-02-2021,75.58
01-03-2021,67.55
01-04-2021,68.47
01-05-2021,75.62
01-06-2021,76.22
01-07-2021,77.61
01-08-2021,75.91
01-09-2021,79.57
01-10-2021,85.37
01-11-2021,89.42
01-12-2021,85.16
01-01-2022,81.8
01-02-2022,71.36
01-03-2022,64.22
01-04-2022,71.61
01-05-2022,74.49
01-06-2022,76.36
01-07-2022,76.07
01-08-2022,80.32
01-09-2022,79.85
01-10-2022,81.27
01-11-2022,84.49
01-12-2022,84.16
01-01-2023,74.83
01-02-2023,65.91
01-03-2023,64.17
01-04-2023,63.19
01-05-2023,75.6
01-06-2023,72.32
01-07-2023,72.18
01-08-2023,71.22
01-09-2023,77
01-10-2023,79.01
01-11-2023,86.44
01-12-2023,86.11
01-01-2024,80.3
01-02-2024,69.78
01-03-2024,56.85
01-04-2024,59.92
01-05-2024,73.25
01-06-2024,78.45
01-07-2024,75.28
01-08-2024,80.16
01-09-2024,75.14
01-10-2024,83.23
01-11-2024,85.6
01-12-2024,85.62
01-01-2025,80.46
01-02-2025,68.88
01-03-2025,66.46
01-04-2025,71.18
01-05-2025,73.94
01-06-2025,75.1
01-07-2025,71.59
01-08-2025,76.06
01-09-2025,76.91
01-10-2025,82.84
01-11-2025,83.51
01-12-2025,81.73
