Date,Peak_Demand
2015-04-01,12969
2015-05-01,13295
2015-06-01,13278
2015-07-01,14615
2015-08-01,13757
2015-09-01,13833
2015-10-01,13307
2015-11-01,12481
2015-12-01,12684
2016-01-01,13576
2016-02-01,14537
2016-03-01,14567
2016-04-01,15107
2016-05-01,15023
2016-06-01,14640
2016-07-01,14723
2016-08-01,14431
2016-09-01,14597
2016-10-01,14688
2016-11-01,14163
2016-12-01,13584
2017-01-01,14012
2017-02-01,14000
2017-03-01,14613
2017-04-01,15196
2017-05-01,15072
2017-06-01,14830
2017-07-01,14922
2017-08-01,13956
2017-09-01,14037
2017-10-01,13716
2017-11-01,14561
2017-12-01,13890
2018-01-01,14406
2018-02-01,14685
2018-03-01,15251
2018-04-01,15457
2018-05-01,15192
2018-06-01,15191
2018-07-01,15139
2018-08-01,15025
2018-09-01,14971
2018-10-01,14971
2018-11-01,14971
2018-12-01,14971
2019-01-01,14971
2019-02-01,15562
2019-03-01,16129
2019-04-01,16386
2019-05-01,16014
2019-06-01,14419
2019-07-01,14104
2019-08-01,16386
2019-09-01,15133
2019-10-01,14701
2019-11-01,14213
2019-12-01,13978
2020-01-01,14719
2020-02-01,15128
2020-03-01,15591
2020-04-01,11577
2020-05-01,14343
2020-06-01,14855
2020-07-01,13589
2020-08-01,14491
2020-09-01,14836
2020-10-01,14564
2020-11-01,15298
2020-12-01,14238
2021-01-01,14163
2021-02-01,15298
2021-03-01,16481
2021-04-01,16846
2021-05-01,15957
2021-06-01,16040
2021-07-01,15579
2021-08-01,16029
2021-09-01,15927
2021-10-01,14712
2021-11-01,13501
2021-12-01,14501
2022-01-01,15290
2022-02-01,16262
2022-03-01,17196
2022-04-01,17646
2022-05-01,16906
2022-06-01,16906
2022-07-01,16243
2022-08-01,16058
2022-09-01,16390
2022-10-01,15532
2022-11-01,15070
2022-12-01,15663
2023-01-01,16063
2023-02-01,16783
2023-03-01,18053
2023-04-01,19387
2023-05-01,18658
2023-06-01,18527
2023-07-01,17774
2023-08-01,18252
2023-09-01,17074
2023-10-01,17484
2023-11-01,16099
2023-12-01,16099
2024-01-01,15920
2024-02-01,17044
2024-03-01,17044
2024-04-01,20701
2024-05-01,20830
2024-06-01,18771
2024-07-01,18542
2024-08-01,18052
2024-09-01,19399
2024-10-01,18113
2024-11-01,16872
2024-12-01,16307
2025-01-01,17279
2025-02-01,18584
2025-03-01,19939
2025-04-01,20148
2025-05-01,19416
2025-06-01,19976
2025-07-01,20152
2025-08-01,19275
2025-09-01,18682
2025-10-01,17887
2025-11-01,18020
2025-12-01,17842
2026-01-01,17610
2026-02-01,19326
2026-03-01,20211
2026-04-01,21326
2026-05-01,19787
