Date,Temperature
01-01-2015,24.16
01-02-2015,25.83
01-03-2015,28.35
01-04-2015,28.57
01-05-2015,27.95
01-06-2015,27.31
01-07-2015,27.68
01-08-2015,27.85
01-09-2015,27.5
01-10-2015,26.6
01-11-2015,25.04
01-12-2015,24.37
01-01-2016,23.84
01-02-2016,26.39
01-03-2016,29.36
01-04-2016,31.11
01-05-2016,29.45
01-06-2016,27.64
01-07-2016,27.29
01-08-2016,27.55
01-09-2016,27.56
01-10-2016,27.54
01-11-2016,26.06
01-12-2016,25.36
01-01-2017,25.03
01-02-2017,25.78
01-03-2017,28
01-04-2017,30.78
01-05-2017,29.28
01-06-2017,27.92
01-07-2017,28.08
01-08-2017,27.06
01-09-2017,26.39
01-10-2017,26.39
01-11-2017,25.22
01-12-2017,24.11
01-01-2018,24.18
01-02-2018,25.56
01-03-2018,28.21
01-04-2018,29.71
01-05-2018,28.37
01-06-2018,27.54
01-07-2018,27.21
01-08-2018,26.96
01-09-2018,27.38
01-10-2018,26.18
01-11-2018,25.27
01-12-2018,24.97
01-01-2019,24.33
01-02-2019,27.61
01-03-2019,29.55
01-04-2019,30.71
01-05-2019,30.64
01-06-2019,29.01
01-07-2019,28.03
01-08-2019,27
01-09-2019,26.64
01-10-2019,25.79
01-11-2019,25.64
01-12-2019,24.48
01-01-2020,24.82
01-02-2020,26.52
01-03-2020,29.11
01-04-2020,30.12
01-05-2020,30.11
01-06-2020,28.14
01-07-2020,26.84
01-08-2020,27.02
01-09-2020,26.34
01-10-2020,26.3
01-11-2020,25.51
01-12-2020,23.89
01-01-2021,23.96
01-02-2021,24.2
01-03-2021,27.25
01-04-2021,29.1
01-05-2021,28.23
01-06-2021,27.6
01-07-2021,27.02
01-08-2021,26.95
01-09-2021,26.73
01-10-2021,26.07
01-11-2021,24.87
01-12-2021,23.94
01-01-2022,24.49
01-02-2022,25.5
01-03-2022,28.08
01-04-2022,28.67
01-05-2022,28.42
01-06-2022,27.27
01-07-2022,26.85
01-08-2022,26.3
01-09-2022,26.52
01-10-2022,26.02
01-11-2022,24.6
01-12-2022,24.34
01-01-2023,23.66
01-02-2023,25.33
01-03-2023,28.08
01-04-2023,29.7
01-05-2023,28.58
01-06-2023,28.53
01-07-2023,27.76
01-08-2023,28.47
01-09-2023,27.07
01-10-2023,26.98
01-11-2023,25.64
01-12-2023,25.03
01-01-2024,24.62
01-02-2024,26.74
01-03-2024,29.16
01-04-2024,31.32
01-05-2024,29.5
01-06-2024,27.46
01-07-2024,27.33
01-08-2024,27.16
01-09-2024,27.79
01-10-2024,26.53
01-11-2024,25.44
01-12-2024,25.08
01-01-2025,23.86
01-02-2025,25.73
01-03-2025,28.23
01-04-2025,28.97
01-05-2025,28.83
01-06-2025,28.12
01-07-2025,28.02
01-08-2025,27.28
01-09-2025,27.49
01-10-2025,26.68
01-11-2025,25.32
01-12-2025,23.56
