Date,Electricity_Supply
2015-04-01,8112.0
2015-05-01,8165.0
2015-06-01,8257.0
2015-07-01,8901.0
2015-08-01,8531.0
2015-09-01,8373.0
2015-10-01,8324.0
2015-11-01,6508.0
2015-12-01,7174.0
2016-01-01,8150.0
2016-02-01,8387.0
2016-03-01,9686.0
2016-04-01,9842.3
2016-05-01,9294.1
2016-06-01,8742.8
2016-07-01,9006.6
2016-08-01,9207.2
2016-09-01,9066.5
2016-10-01,9059.1
2016-11-01,8883.0
2016-12-01,8032.4
2017-01-01,8287.4
2017-02-01,7893.6
2017-03-01,9392.7
2017-04-01,9535.4
2017-05-01,9684.9
2017-06-01,9170.5
2017-07-01,9403.0
2017-08-01,8650.4
2017-09-01,8278.5
2017-10-01,8385.8
2017-11-01,8076.0
2017-12-01,8526.3
2018-01-01,8613.9
2018-02-01,8257.0
2018-03-01,9859.0
2018-04-01,10118.0
2018-05-01,9514.0
2018-06-01,9464.0
2018-07-01,9613.0
2018-08-01,9321.0
2018-09-01,9421.0
2018-10-01,8828.0
2018-11-01,7963.0
2018-12-01,8803.0
2019-01-01,8684.0
2019-02-01,8747.0
2019-03-01,10546.0
2019-04-01,10308.0
2019-05-01,10611.0
2019-06-01,10046.0
2019-07-01,9838.0
2019-08-01,9169.0
2019-09-01,8636.0
2019-10-01,8427.0
2019-11-01,8249.0
2019-12-01,7831.0
2020-01-01,8547.0
2020-02-01,9054.0
2020-03-01,9586.0
2020-04-01,7289.0
2020-05-01,8988.0
2020-06-01,9003.0
2020-07-01,8354.0
2020-08-01,8696.0
2020-09-01,8435.0
2020-10-01,9185.0
2020-11-01,7984.0
2020-12-01,8035.0
2021-01-01,7887.0
2021-02-01,8367.0
2021-03-01,9477.0
2021-04-01,9779.0
2021-05-01,9293.0
2021-06-01,9366.0
2021-07-01,9602.0
2021-08-01,10008.0
2021-09-01,9434.0
2021-10-01,9062.0
2021-11-01,7360.0
2021-12-01,8590.0
2022-01-01,8873.0
2022-02-01,9028.0
2022-03-01,10648.0
2022-04-01,10605.0
2022-05-01,10458.0
2022-06-01,10458.0
2022-07-01,10142.0
2022-08-01,9694.0
2022-09-01,9581.0
2022-10-01,9010.0
2022-11-01,8495.0
2022-12-01,8836.0
2023-01-01,9203.0
2023-02-01,8926.0
2023-03-01,10866.0
2023-04-01,11272.0
2023-05-01,10897.0
2023-06-01,11065.0
2023-07-01,10907.0
2023-08-01,11349.0
2023-09-01,10187.0
2023-10-01,10617.0
2023-11-01,8762.0
2023-12-01,9278.0
2024-01-01,9630.0
2024-02-01,10419.0
2024-03-01,10419.0
2024-04-01,12649.0
2024-05-01,11838.0
2024-06-01,10784.0
2024-07-01,11135.0
2024-08-01,11135.0
2024-09-01,11243.0
2024-10-01,10241.0
2024-11-01,9398.0
2024-12-01,9419.0
2025-01-01,9717.0
2025-02-01,10171.0
2025-03-01,11864.0
2025-04-01,11892.0
2025-05-01,11332.0
2025-06-01,11514.0
2025-07-01,12382.0
2025-08-01,11271.0
2025-09-01,10972.0
2025-10-01,10087.0
2025-11-01,10076.0
2025-12-01,10150.0
2026-01-01,10067.0
2026-02-01,10125.0
2026-03-01,12233.0
2026-04-01,12922.0
2026-05-01,12400.0
