,Date,Coal,Oil_Gas,Nuclear,Hydro,Solar,Wind,Small_Hydro,Bio_Power,Total,Coal_Lag_1,Oil_Gas_Lag_1,Nuclear_Lag_1,Hydro_Lag_1,Solar_Lag_1,Wind_Lag_1,Small_Hydro_Lag_1,Bio_Power_Lag_1,Total_Lag_1,Total_Lag_3,Total_Lag_6,Total_Lag_12,Total_Rolling_3,Total_Rolling_6,Total_Rolling_12,Year,Month,Quarter
0,2016-04-01,6842.21,296.6,920.74,374.27,130.04,237.77,8.49,151.69,8961.81,6509.31,266.16,931.64,401.62,149.31,263.16,8.39,183.0,8712.59,6848.72,7211.4,7733.02,7663.493333333333,6866.235000000001,7138.5075,2016,4,2
1,2016-05-01,6282.95,227.01,1001.14,222.12,130.42,242.24,1.98,135.32,8243.18,6842.21,296.6,920.74,374.27,130.04,237.77,8.49,151.69,8961.81,7429.17,5304.15,6933.71,8367.856666666667,7157.97,7240.906666666666,2016,5,2
2,2016-06-01,4788.66,206.24,993.61,126.87,111.87,1328.16,2.81,93.66,7651.88,6282.95,227.01,1001.14,222.12,130.42,242.24,1.98,135.32,8243.18,8712.59,5691.38,7124.63,8639.193333333335,7647.808333333333,7350.029166666667,2016,6,2
3,2016-07-01,4944.19,222.91,1035.3,230.53,123.15,2000.97,19.07,103.36,8679.48,4788.66,206.24,993.61,126.87,111.87,1328.16,2.81,93.66,7651.88,8961.81,6848.72,7755.03,8285.623333333333,7974.558333333333,7393.966666666667,2016,7,3
4,2016-08-01,5018.39,180.88,1052.41,184.3,143.48,2021.62,21.77,121.97,8744.82,4944.19,222.91,1035.3,230.53,123.15,2000.97,19.07,103.36,8679.48,8243.18,7429.17,7560.05,8191.513333333333,8279.685,7471.004166666667,2016,8,3
5,2016-09-01,5116.35,189.01,853.06,220.07,146.34,2124.71,17.37,176.08,8842.99,5018.39,180.88,1052.41,184.3,143.48,2021.62,21.77,121.97,8744.82,7651.88,8712.59,7358.24,8358.726666666667,8498.96,7569.735,2016,9,3
6,2016-10-01,5951.71,250.16,980.43,378.03,187.0,2023.08,9.65,126.36,9906.42,5116.35,189.01,853.06,220.07,146.34,2124.71,17.37,176.08,8842.99,8679.48,8961.81,7211.4,8755.763333333334,8520.693333333335,7693.464166666666,2016,10,4
7,2016-11-01,6287.27,261.59,794.7,173.57,152.68,639.26,3.66,35.42,8348.15,5951.71,250.16,980.43,378.03,187.0,2023.08,9.65,126.36,9906.42,8744.82,8243.18,5304.15,9164.743333333334,8678.128333333332,7918.049166666667,2016,11,4
8,2016-12-01,5858.36,241.92,240.64,139.31,168.17,210.25,3.86,44.16,6906.67,6287.27,261.59,794.7,173.57,152.68,639.26,3.66,35.42,8348.15,8842.99,7651.88,5691.38,9032.519999999999,8695.623333333333,8171.715833333333,2016,12,4
9,2017-01-01,6223.59,241.21,306.79,100.58,184.74,325.47,1.15,77.34,7460.87,5858.36,241.92,240.64,139.31,168.17,210.25,3.86,44.16,6906.67,9906.42,8679.48,6848.72,8387.08,8571.421666666667,8272.99,2017,1,1
10,2017-02-01,5562.55,214.81,406.16,104.48,196.87,480.85,1.57,72.33,7039.62,6223.59,241.21,306.79,100.58,184.74,325.47,1.15,77.34,7460.87,8348.15,8744.82,7429.17,7571.8966666666665,8368.320000000002,8324.0025,2017,2,1
11,2017-03-01,6873.27,220.02,1101.65,142.99,223.6,300.89,2.43,88.79,8953.64,5562.55,214.81,406.16,104.48,196.87,480.85,1.57,72.33,7039.62,6906.67,8842.99,8712.59,7135.72,8084.12,8291.539999999999,2017,3,1
12,2017-04-01,6642.05,224.96,838.77,163.1,233.17,231.57,0.85,81.56,8416.03,6873.27,220.02,1101.65,142.99,223.6,300.89,2.43,88.79,8953.64,7460.87,9906.42,8961.81,7818.043333333332,8102.561666666666,8311.6275,2017,4,2
13,2017-05-01,6362.39,168.06,498.62,77.16,238.43,531.41,0.85,60.56,7937.48,6642.05,224.96,838.77,163.1,233.17,231.57,0.85,81.56,8416.03,7039.62,8348.15,8243.18,8136.43,7854.163333333333,8266.145833333334,2017,5,2
14,2017-06-01,4651.94,247.67,873.41,70.29,228.34,1462.2,2.55,62.25,7598.65,6362.39,168.06,498.62,77.16,238.43,531.41,0.85,60.56,7937.48,8953.64,6906.67,7651.88,8435.716666666665,7785.718333333333,8240.670833333332,2017,6,2
